,open_time,open,high,low,close,volume,close_time,quote_volume,total_trades,taker_volume,taker_quote_volume
0,1576771200000,7145.99,7150.0,7141.01,7142.33,21.094283,1576771259999,150780.94949551,217,14.135147,101048.61101043
1,1576771260000,7142.89,7142.99,7120.7,7125.73,118.279931,1576771319999,843149.90036247,776,27.549385,196398.83616223
1,1576771270000,null,null,7120.7,7125.73,118.279931,1576771319999,843149.90036247,776,27.549385,196398.83616223
2,1576771320000,7125.76,7134.46,7123.12,7123.12,41.03628,1576771379999,292539.02005535,342,28.178664,200902.28950117
3,1576771380000,7123.74,7128.06,7117.12,7126.57,39.885367,1576771439999,284079.14617021,350,22.464954,160000.58307178
4,1576771440000,7127.34,7137.84,7126.71,7134.99,25.138154,1576771499999,179296.71632665,325,14.275172,101812.97884878
5,1576771500000,7134.99,7144.13,7132.84,7141.64,26.467308,1576771559999,188940.26881548,234,14.824416,105802.31182973
6,1576771560000,7141.04,7152.08,7140.76,7144.08,54.093481,1576771619999,386689.77503753,427,40.370718,288616.01144926
7,1576771620000,7145.12,7149.96,7143.35,7147.88,19.268826,1576771679999,137711.54732098,239,7.840817,56039.51488416
8,1576771680000,7147.47,7151.97,7146.75,7150.76,16.655088,1576771739999,119083.09248477,176,13.448484,96156.66827016
9,1576771740000,7150.98,7155.16,7147.8,7155.16,41.124455,1576771799999,294072.92410298,193,33.821231,241856.24869285
10,1576771800000,7155.17,7161.38,7149.37,7150.29,46.710329,1576771859999,334264.92102843,370,25.309614,181162.3611172
11,1576771860000,7150.37,7154.93,7150.37,7151.67,10.32316,1576771919999,73838.67035992,173,7.475917,53472.92954212
12,1576771920000,7151.67,7151.67,7143.38,7143.38,27.787442,1576771979999,198581.79070583,315,10.940717,78185.0789367
13,1576771980000,7143.38,7148.34,7142.82,7146.6,41.34693,1576772039999,295404.20460748,227,26.244378,187501.80907596
14,1576772040000,7146.5,7146.5,7136.5,7137.44,23.063912,1576772099999,164716.61075385,263,13.115027,93667.62164288
15,1576772100000,7137.46,7145.0,7137.45,7144.18,27.39518,1576772159999,195633.02005372,283,23.651016,168900.63389837
16,1576772160000,7144.68,7158.0,7144.23,7158.0,36.661536,1576772219999,262089.78505317,384,27.538311,196854.04722263
17,1576772220000,7156.77,7162.95,7152.88,7158.48,46.955115,1576772279999,336145.71604983,406,19.38481,138759.49971382
18,1576772280000,7158.48,7160.29,7148.58,7149.9,29.809408,1576772339999,213271.61613104,223,17.929665,128270.0867694
19,1576772340000,7149.9,7164.91,7149.9,7164.91,23.189489,1576772399999,165969.24616855,358,17.101028,122401.76347842
20,1576772400000,7163.51,7173.47,7163.01,7166.05,83.406898,1576772459999,597835.50376191,597,58.724203,420849.45538168
21,1576772460000,7166.03,7170.0,7157.18,7158.24,39.638067,1576772519999,283967.27370091,382,20.449816,146508.02514876
22,1576772520000,7158.38,7165.0,7153.0,7153.44,47.970159,1576772579999,343454.40349241,328,30.810461,220657.09975325
23,1576772580000,7153.3,7160.92,7151.9,7159.64,30.758055,1576772639999,220050.38924721,226,23.798161,170242.77486658
24,1576772640000,7159.62,7162.1,7151.42,7153.87,21.311415,1576772699999,152575.4734583,203,13.206205,94557.37335614
25,1576772700000,7153.97,7154.97,7148.96,7153.86,19.238878,1576772759999,137572.951374,217,10.537551,75351.80708474
26,1576772760000,7153.87,7154.97,7147.78,7149.75,18.222382,1576772819999,130314.27180608,178,8.639792,61777.49964468
27,1576772820000,7149.73,7159.24,7149.73,7150.23,23.187253,1576772879999,165918.11341292,187,10.50911,75192.99685687
28,1576772880000,7150.16,7151.08,7146.43,7148.1,13.11917,1576772939999,93780.5596935,191,5.200844,37179.01939068
29,1576772940000,7147.83,7152.12,7146.41,7151.58,11.597812,1576772999999,82902.97567245,145,5.412346,38688.41955747
30,1576773000000,7151.58,7152.7,7146.03,7147.52,13.646299,1576773059999,97578.82850109,219,6.859963,49051.7353077
31,1576773060000,7147.35,7147.35,7140.0,7145.35,24.67735,1576773119999,176246.3843459,425,12.647383,90330.81488813
32,1576773120000,7146.46,7150.0,7144.55,7146.58,21.7564,1576773179999,155501.16818135,287,14.896474,106473.01165182
